source_type,source,canonical_id,score,provenance
rtf_qid,RTF:Q1.2,M1-Q17,0.438,rtf_hint_or_rescore
rtf_qid,RTF:Q3.2,M4-Q13,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q8.2,M4-Q19,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q12.2,M1-Q12,0.500,rtf_hint_or_rescore
rtf_qid,RTF:Q13.2,M4-Q24,0.429,rtf_hint_or_rescore
rtf_qid,RTF:Q1.2,M1-Q17,0.438,rtf_hint_or_rescore
rtf_qid,RTF:Q3.2,M4-Q13,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q1.2,M1-Q17,0.438,rtf_hint_or_rescore
rtf_qid,RTF:Q3.2,M4-Q13,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q8.2,M4-Q19,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q12.2,M1-Q12,0.500,rtf_hint_or_rescore
rtf_qid,RTF:Q1.2,M1-Q17,0.438,rtf_hint_or_rescore
rtf_qid,RTF:Q3.2,M4-Q13,0.400,rtf_hint_or_rescore
rtf_qid,RTF:Q2.2,M1-Q02,0.375,program_suggest
rtf_qid,RTF:Q4.2,M1-Q09,0.375,program_suggest
rtf_qid,RTF:Q5.2,M1-Q05,0.364,program_suggest
rtf_qid,RTF:Q9.2,M1-Q09,0.263,program_suggest
rtf_qid,RTF:Q7.2,M1-Q07,0.250,program_suggest
rtf_qid,RTF:Q10.2,M1-Q21,0.250,program_suggest
